ID,POLYGON_AREA [ha],CENTER_POLYGON_X,CENTER_POLYGON_Y
307,0.1201,-72.89288436773539,-45.41292622050852
308,7.973,-72.88898298481857,-45.40381164938926
309,10.5267,-72.89093158890714,-45.40173868360546
310,4.6747,-72.88385080750362,-45.401013126570554
311,0.2102,-72.89508626614722,-45.40188860226388
312,0.6915,-72.89693631303892,-45.4026239868235
313,0.1115,-72.8960950519323,-45.40214408129411
314,0.5088,-72.89518666018593,-45.39809797664098
315,0.9454,-72.89092110391458,-45.40039746499972
316,0.3265,-72.89174135423075,-45.39952873981093
317,0.9773,-72.8915982556132,-45.398359668775484
318,0.891,-72.89119885189413,-45.397564851193565
319,1.1303,-72.88250953592889,-45.39860270251191
320,0.3431,-72.71650542114371,-45.45283696033508
321,0.6575,-72.7133933744263,-45.46160462891394
322,4.1925,-72.83359196502298,-45.26844113986865
323,1.0053,-72.82864029886144,-45.26645144093911
324,1.3065,-72.84384189649735,-45.26837149909489
325,12.4512,-72.88576351674642,-45.39504125041161
326,0.4093,-72.88882550159002,-45.397131504074736
327,0.4712,-72.88932219078713,-45.39746676321648
328,2.4106,-72.88320718041373,-45.396115234001904
329,0.8686,-72.88947060350488,-45.398689257784525
330,4.0496,-72.88518167500966,-45.397499292921424
331,1.2843,-72.88554241319306,-45.3968580907003
332,1.5617,-72.882871985113,-45.39752674463409
333,0.7248,-72.88576569002082,-45.39900708580216
334,0.1999,-72.88322321417729,-45.39968625768434
335,15.2694,-72.88785804109762,-45.39075055778526
336,1.3021,-72.89562142246444,-45.39124272488224
337,0.664,-72.89440027036181,-45.3921847150276
338,4.7385,-72.89187113014043,-45.39223018957685
339,2.2506,-72.88923419595329,-45.39207909614696
340,11.2068,-72.89194588037182,-45.39440418731052
341,1.8088,-72.89202785689801,-45.387771589692335
342,7.2685,-72.89197505386163,-45.38563756007283
343,14.6694,-72.88938109137943,-45.38731126462659
344,7.665,-72.88108282789712,-45.39033213775508
345,2.8298,-72.89110844545651,-45.3837642156721
346,1.0487,-72.8853835062723,-45.386199174927164
347,3.2032,-72.88195985384525,-45.376071851272755
348,17.5467,-72.84973572060053,-45.37510381184948
349,0.8383,-72.85609024554778,-45.37402557847207
350,0.4087,-72.85562048670184,-45.374603406873455
351,2.5165,-72.85420395957078,-45.376330831033115
352,3.0478,-72.85253146795917,-45.38000529519107
353,2.0846,-72.86167309442966,-45.37428118830601
354,4.6467,-72.8596801079943,-45.37164524932781
355,0.6298,-72.85665150986186,-45.3717410294589
356,0.531,-72.86707743182079,-45.36628523005854
357,0.4742,-72.86692465298283,-45.36729936416829
358,0.6588,-72.868475960937,-45.367524994882935
359,3.3103,-72.85923633493785,-45.36621925562326
360,0.8661,-72.86470130739893,-45.36844037448169
361,0.4239,-72.86503947364017,-45.36773505695992
362,0.2993,-72.86430191669315,-45.36875897265567
363,0.5587,-72.86371520138401,-45.368998870366106
364,0.4394,-72.8634763939225,-45.36944342428807
365,2.1308,-72.8618929212364,-45.369696558850855
366,2.4805,-72.86198532404454,-45.37084943366104
367,2.9649,-72.85982830113439,-45.3705215827795
368,3.0872,-72.85099138866804,-45.369188320274475
369,0.5151,-72.84934817664087,-45.36887426107343
370,0.1003,-72.85055310019798,-45.367721061075265
371,0.8489,-72.86738405630533,-45.3604982540028
372,0.8428,-72.86632133207905,-45.361957662730575
373,1.1677,-72.87073870421855,-45.38744743587994
374,3.4124,-72.92547854025767,-45.36457392597069
375,2.1486,-72.92411462708682,-45.36855497094288
376,0.6751,-72.93908993123829,-45.353742767194596
377,0.2242,-72.98115229544325,-45.33032492058099
378,0.1457,-72.98137967864932,-45.32989066989464
379,2.7614,-72.8745602508668,-45.49275041960161
380,4.4923,-72.87934699929626,-45.50136735091632
381,0.8834,-72.87946379355385,-45.48806371974293
382,3.7851,-72.90528338718651,-45.49895596591879
383,0.8709,-72.91418379660988,-45.491268431855474
384,1.9827,-72.91624335283127,-45.491742902005285
385,0.3009,-72.92190604845271,-45.48526986414447
386,0.1062,-72.92008665422203,-45.48510663678467
387,0.1796,-72.91010546389904,-45.4830247040589
388,0.9638,-72.97441420527335,-45.490774890616144
389,1.7559,-72.9803854543986,-45.487866576164976
390,1.0174,-72.98003362961181,-45.485861597818214
391,3.7336,-72.97556753834796,-45.488064447258495
392,0.6701,-72.98379295825308,-45.49116211305575
393,0.3067,-72.97796195484227,-45.49550318298092
394,1.4462,-72.98382184519451,-45.49264387585992
395,1.3836,-72.99702206327952,-45.49470131353024
396,0.2603,-72.98447540128991,-45.50412908653523
397,0.1665,-72.99023185856075,-45.50485130810264
398,0.0967,-72.98968884014813,-45.505042964233205
399,0.5451,-72.99044115339537,-45.5107731245119
400,0.6268,-72.98772809781462,-45.512432604819125
401,0.3938,-72.98485226568852,-45.51917777956198
402,0.1671,-72.99027829889631,-45.51828965104306
403,0.5929,-72.98584052057863,-45.524513687209094
404,0.5655,-72.9954362686402,-45.52394927324896
405,1.1771,-72.99420123882558,-45.526792498985586
406,0.6831,-72.99548228401216,-45.529601666095694
407,0.2245,-72.9950943667992,-45.523579585338894
408,0.242,-72.99527339794635,-45.5246983481976
409,0.3607,-72.97684283434052,-45.55405879996659
410,0.2852,-72.974149480975,-45.55862664035794
411,0.3251,-73.03939078710535,-45.51575636491827
412,4.4866,-73.0416500452086,-45.517212634119566
413,1.4584,-73.05066985354377,-45.522988333771394
414,0.7443,-73.05561461260295,-45.51788139570085
415,0.1406,-73.05537459449138,-45.5193863958635
416,1.1864,-73.0456016680085,-45.50460941606231
417,0.5243,-73.03291079792125,-45.50162584464665
418,0.2297,-73.05480968867253,-45.51193613978283
419,0.4697,-73.06157571616802,-45.537550872741505
420,0.7983,-73.06092214590251,-45.536065654312516
421,0.1604,-73.0608996505596,-45.53365094291683
422,0.6669,-73.05263754079824,-45.527177004940185
423,1.4409,-73.07984044596235,-45.46706376465613
424,0.58,-73.06031620627486,-45.46369254744182
425,0.6039,-73.06704389193564,-45.460295671021576
426,1.9592,-73.07905656552019,-45.45558052793521
427,0.9332,-73.09168664960276,-45.456493603311486
428,0.3522,-73.097784583301,-45.45404891600483
429,1.1805,-73.10757941352152,-45.43220511284878
430,1.0199,-73.10593424069157,-45.42886969207257
431,0.2372,-73.10306174833833,-45.42799854005821
432,0.2389,-73.09408753141146,-45.42857544397395
433,0.1914,-73.1000793663202,-45.43096414662183
434,0.2048,-73.10092463304024,-45.43095660821248
435,0.4194,-73.09403920999469,-45.4199751571787
436,0.6852,-73.10871158959759,-45.40001793830476
437,0.5948,-73.1183352160658,-45.40796927536325
438,0.1413,-73.11817421273345,-45.38812158520504
439,1.3244,-73.11498921704026,-45.388564868262215
440,0.6723,-72.96364631704172,-45.31578815997617
441,0.3033,-73.00668050553905,-45.30129001434731
442,0.0555,-73.00780696175144,-45.30131033631414
443,0.1227,-73.00857765660209,-45.301049603093155
444,0.3712,-73.00158942562462,-45.30403786087497
445,1.6162,-73.15720553632131,-45.38166898878212
446,2.2276,-73.16063879491793,-45.3819747270839
447,0.6398,-73.02675722329118,-45.22317810901098
448,0.591,-73.02739076436491,-45.226271362299045
